group,pcas_avg_steps,fixed20_avg_steps,step_saving_percent_vs_fixed20,pcas_time_no_warmup,fixed20_time_no_warmup,time_saving_seconds_vs_fixed20,time_saving_percent_vs_fixed20
all,19.333333333333332,20,3.3333333333333393,0.9772549896551466,0.9963466413793459,0.019091651724199354,1.9161656125792528
10_words,10,20,50.0,0.592885955555428,1.0189890666666643,0.42610311111123633,41.81625937411798
30_words,20,20,0.0,0.987984570000026,0.9717766400000982,-0.016207929999927817,-1.6678657762267448
50_words,28,20,-40.0,1.312457540000014,1.0005384600000071,-0.3119190800000069,-31.175121444107674
