method,reference,prompt_length_group,method_avg_steps,reference_avg_steps,step_saving_percent,method_time_no_warmup,reference_time_no_warmup,time_saving_seconds,time_saving_percent
rule_pcas_7_2,fixed_20,all,19.333333333333332,20,3.3333333333333393,0.9772549896551466,0.9963466413793459,0.019091651724199354,1.9161656125792528
rule_pcas_7_2,fixed_20,10_words,10,20,50.0,0.592885955555428,1.0189890666666643,0.42610311111123633,41.81625937411798
rule_pcas_7_2,fixed_20,30_words,20,20,0.0,0.987984570000026,0.9717766400000982,-0.016207929999927817,-1.6678657762267448
rule_pcas_7_2,fixed_20,50_words,28,20,-40.0,1.312457540000014,1.0005384600000071,-0.3119190800000069,-31.175121444107674
deepseek_pcas_7_3,fixed_20,all,23.4,20,-16.999999999999993,1.3034504206896538,0.9963466413793459,-0.30710377931030786,-30.822985350274504
deepseek_pcas_7_3,fixed_20,10_words,15,20,25.0,0.9400391666667929,1.0189890666666643,0.07894989999987145,7.747865269853563
deepseek_pcas_7_3,fixed_20,30_words,27.2,20,-35.99999999999999,1.4195021899999118,0.9717766400000982,-0.4477255499998136,-46.0728866666077
deepseek_pcas_7_3,fixed_20,50_words,28,20,-40.0,1.51446877999997,1.0005384600000071,-0.513930319999963,-51.36537380081914
