method,images,avg_time_no_warmup_seconds,avg_peak_vram_gb,avg_reference_clip_similarity,std_reference_clip_similarity,avg_reference_delta_vs_base,reference_wins_vs_base,avg_prompt_clipscore,avg_subject_prompt_clipscore,avg_subject_prompt_delta_vs_base,subject_prompt_wins_vs_base
base,8,1.0123481000025225,6.979499816894531,83.65927934646606,2.6952137826501805,0.0,0,31.525414064526558,28.486762568354607,0.0,0
original_lora_scale_2,8,1.4207642142843855,6.985267639160156,83.83922204375267,2.600022906796537,0.17994269728660583,4,32.61989913880825,29.141206666827202,0.6544440984725952,7
enhanced_lora_scale_1_5,8,1.4385026142824375,6.991035461425781,81.56023845076561,3.5349801367967517,-2.0990408957004547,2,34.04019810259342,30.053028464317322,1.5662658959627151,6
enhanced_lora_scale_2,8,1.4413873571445168,6.991035461425781,76.66609287261963,1.9341709215027423,-6.9931864738464355,0,32.85481780767441,27.873915061354637,-0.6128475069999695,3
clean_captioned_lora_scale_1_25,8,1.417168657145729,6.991035461425781,83.28079581260681,3.040677650358152,-0.37848353385925293,5,33.083608373999596,28.981677442789078,0.49491487443447113,5
clean_captioned_lora_scale_1_5,8,1.4317606142846802,6.991035461425781,81.77764043211937,3.924577227394385,-1.881638914346695,4,32.752228155732155,28.646204248070717,0.15944167971611023,4
clean_captioned_lora_scale_1_75,8,1.4403403142870437,6.991035461425781,79.34264466166496,3.5573125070412766,-4.316634684801102,2,32.886625453829765,28.400762006640434,-0.08600056171417236,5
