method,prompt_length_group,avg_steps,fixed20_avg_steps,step_saving_percent_vs_fixed20,avg_time_no_warmup,fixed20_time_no_warmup,time_saving_seconds_vs_fixed20,time_saving_percent_vs_fixed20
rule_pcas_7_2,all,19.333333333333332,20.0,3.3333333333333393,0.9772549896551466,0.9963466413793459,0.019091651724199354,1.9161656125792528
rule_pcas_7_2,10_words,10.0,20.0,50.0,0.592885955555428,1.0189890666666643,0.42610311111123633,41.81625937411798
rule_pcas_7_2,30_words,20.0,20.0,0.0,0.987984570000026,0.9717766400000982,-0.016207929999927817,-1.6678657762267448
rule_pcas_7_2,50_words,28.0,20.0,-40.0,1.312457540000014,1.0005384600000071,-0.3119190800000069,-31.175121444107674
balanced_pcas,all,16.0,20.0,20.0,0.7513618034482251,0.9963466413793459,0.2449848379311208,24.588313721012085
balanced_pcas,10_words,8.0,20.0,60.0,0.4654658777783172,1.0189890666666643,0.5535231888883472,54.320817268338544
balanced_pcas,30_words,16.0,20.0,20.0,0.7370667599992885,0.9717766400000982,0.23470988000080972,24.152657137424708
balanced_pcas,50_words,24.0,20.0,-20.0,1.022963180000079,1.0005384600000071,-0.022424720000071785,-2.2412651683646048
