method,num_images,avg_steps,avg_time_no_warmup,avg_clip_score,min_clip_score,max_clip_score
fixed_20,8,20.0,0.9780337625001039,36.5224651992321,34.57721471786499,39.4730806350708
fixed_28,8,28.0,1.3574559249999538,36.717742681503296,34.775930643081665,39.4115149974823
rule_pcas_7_2,8,26.0,1.22465947500001,36.74752973020077,34.58247184753418,39.32524919509888
balanced_pcas,8,22.0,0.9525301874991783,36.52643263339996,34.46228504180908,39.31342661380768
deepseek_balanced_pcas,8,22.0,0.9550373124984617,36.4397257566452,34.480589628219604,39.2461359500885
